"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"74","252.35095700463043","137.39662717532548","0.0115966796875","0.00927734375","0.014404296875","1560","0.00033915448924142785","32","0.00033915448924142785","0","0.00033915448924142785","0.00033915448924142785","86:0.001800247933491289;67:0.001824948948821764","86:68;67:72","86:0.001842364048273204;67:0.002616848942815747","0.0115966796875","Yes"
"75","204.6832110708957","137.40160784001424","0.0087890625","0.009033203125","0.008544921875","1560","0.00030335394540385293","32","0.00030335394540385293","0","0.00030335394540385293","0.00030335394540385293","90:0.0016862722400471097;71:0.002981864979532012","90:88;71:112","90:0.0016106292839099534;71:0.0031733619717545236","0.0087890625","Yes"
"76","189.80523611227704","158.94528891619706","0.092529296875","0.016357421875","0.168701171875","1560","0.0001557028366358511","32","0.0001557028366358511","0","0.0001557028366358511","0.0001557028366358511","91:0.003314534847853934;77:0.0019341866141102115","91:68;77:68","91:0.0026807842767397894;77:0.001883139720015553","0.092529296875","Yes"
"77","199.6058490617375","149.13643965454165","0.028564453125","0.0205078125","0.03662109375","1560","0.00021643966585180728","32","0.00021643966585180728","0","0.00021643966585180728","0.00021643966585180728","78:0.0024601745455595514;76:0.0019341866141102115","78:68;76:68","78:0.0033054055096879142;76:0.001883139720015553","0.028564453125","Yes"
"78","96.27670485573347","88.92078120267966","0.046875","0.05224609375","0.04150390625","1560","0.000478077850002336","32","0.000478077850002336","0","0.000478077850002336","0.000478077850002336","77:0.0024601745455595514;79:0.009742705051484252;72:0.0035961171097615152","77:68;79:88;72:120","77:0.0033054055096879142;79:0.007159129694509603;72:0.0034050854940736452","0.046875","Yes"
"79","117.18061922926134","128.3249039891391","0.037841796875","0.06884765625","0.0068359375","1560","0.00256316799017196","32","0.00256316799017196","0","0.00256316799017196","0.00256316799017196","78:0.009742705051484252;80:0.009883422086902877","78:88;80:68","78:0.007159129694509603;80:0.007031197963750457","0.037841796875","Yes"
"80","158.9058221949961","27.063927436583906","0.024658203125","0.0234375","0.02587890625","1560","0.000193676913374241","32","0.000193676913374241","0","0.000193676913374241","0.000193676913374241","81:0.002708368614322637;92:0.0013882900943885945;79:0.009883422086902877","81:68;92:68;79:68","81:0.0021874805523076357;92:0.001985053599677128;79:0.007031197963750457","0.024658203125","Yes"
"81","116.26846360296297","115.85994435261613","0.0078125","0.004150390625","0.011474609375","1560","0.000408232149719263","32","0.000408232149719263","0","0.000408232149719263","0.000408232149719263","80:0.002708368614322637;82:0.0015405855951002578","80:68;82:68","80:0.0021874805523076357;82:0.001941068427152387","0.0078125","Yes"
"82","239.49462956316336","138.58908738579024","0.1239013671875","0.12255859375","0.125244140625","1560","0.00014194228669604355","32","0.00014194228669604355","0","0.00014194228669604355","0.00014194228669604355","81:0.0015405855951002578;83:0.0023395609066883816;73:0.0021407519597357594","81:68;83:68;73:88","81:0.001941068427152387;83:0.009496401664021437;73:0.001955376105388984","0.1239013671875","Yes"
"83","91.79644877922674","80.23632797258165","0.0206298828125","0.012451171875","0.02880859375","1560","0.0005285413440409893","32","0.0005285413440409893","0","0.0005285413440409893","0.0005285413440409893","82:0.0023395609066883816;84:0.003731765567939971","82:68;84:108","82:0.009496401664021437;84:0.005667122436267297","0.0206298828125","Yes"
