"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"67","188.5251955931758","83.37822234382105","0.02392578125","0.036865234375","0.010986328125","2584","0.00042850705883883887","36","0.00042850705883883887","0","0.00042850705883883887","0.00042850705883883887","68:0.00436868942989721;57:0.0018906355877189307;66:0.0034806586140602724","68:68;57:68;66:68","68:0.009607458183197387;57:0.002322445251988353;66:0.002428568357579902","0.02392578125","Yes"
"68","151.88261201549406","18.402533853435685","0.01513671875","0.028076171875","0.002197265625","2584","0.0007398427182093848","36","0.0007398427182093848","0","0.0007398427182093848","0.0007398427182093848","67:0.00436868942989721;69:0.003088093608144382","67:68;69:68","67:0.009607458183197387;69:0.002745655088703114","0.01513671875","Yes"
"69","140.0547099691306","60.57079566078447","0.021240234375","0.025390625","0.01708984375","2584","0.00022965498001813016","36","0.00022965498001813016","0","0.00022965498001813016","0.00022965498001813016","78:0.0017648961031002386;68:0.003088093608144382;70:0.0016941818518999285","78:68;68:68;70:80","78:0.0022859320596506083;68:0.002745655088703114;70:0.0018743140333302433","0.021240234375","Yes"
"70","193.9661005864268","21.88320440214304","0.015869140625","0.025146484375","0.006591796875","2584","0.00021275027376339896","36","0.00021275027376339896","0","0.00021275027376339896","0.00021275027376339896","69:0.0016941818518999285;71:0.00221360608213772","69:80;71:68","69:0.0018743140333302433;71:0.001798386724650658","0.015869140625","Yes"
"71","172.37336662380685","112.86327081881142","0.010009765625","0.02001953125","0","2584","0.0012736336085799893","36","0.0012736336085799893","0","0.0012736336085799893","0.0012736336085799893","72:0.0029015972670640433;58:0.0024433307027048046;70:0.00221360608213772","72:68;58:68;70:68","72:0.0015536709957577888;58:0.003681262907796551;70:0.001798386724650658","0.010009765625","Yes"
"72","129.3926635658803","14.046101671052108","0.0069580078125","0.012451171875","0.00146484375","2584","0.0007582949677004649","36","0.0007582949677004649","0","0.0007582949677004649","0.0007582949677004649","73:0.0032368806391315508;71:0.0029015972670640433","73:68;71:68","73:0.002453730851086383;71:0.0015536709957577888","0.0069580078125","Yes"
"73","174.68052349482227","93.46204280208389","0.018310546875","0.034912109375","0.001708984375","2584","0.0006522753072089986","36","0.0006522753072089986","0","0.0006522753072089986","0.0006522753072089986","72:0.0032368806391315508;74:0.0021767528653179047;79:0.001921537609488988","72:68;74:68;79:68","72:0.002453730851086383;74:0.0028800773610980768;79:0.0017701490272722942","0.018310546875","Yes"
"74","115.07316801429003","13.126125484564554","0.016845703125","0.028564453125","0.005126953125","2584","0.00033530817624829686","36","0.00033530817624829686","0","0.00033530817624829686","0.00033530817624829686","73:0.0021767528653179047;75:0.0017042752701634523","73:68;75:68","73:0.0028800773610980768;75:0.002232966822267146","0.016845703125","Yes"
"75","214.12796413352635","116.86443123509166","0.0096435546875","0.01806640625","0.001220703125","2584","0.0003177614228824461","36","0.0003177614228824461","0","0.0003177614228824461","0.0003177614228824461","59:0.0031504903835029574;74:0.0017042752701634523","59:68;74:68","59:0.0019846273087122668;74:0.002232966822267146","0.0096435546875","Yes"
"76","110.28374825239432","41.333980664101865","0.0107421875","0.012939453125","0.008544921875","2584","0.00026142904325669286","36","0.00026142904325669286","0","0.00026142904325669286","0.00026142904325669286","81:0.02029951710546707;61:0.002789160999778245","81:68;61:68","81:0.009077093392283186;61:0.002108978376682724","0.0107421875","Yes"
"77","196.8248291568859","88.42042447869542","0.0072021484375","0.011962890625","0.00244140625","2584","0.000883156717879277","36","0.000883156717879277","0","0.000883156717879277","0.000883156717879277","85:0.0033937514683985703;65:0.002426354941958281","85:68;65:68","85:0.0047824869324658015;65:0.0026529147381684492","0.0072021484375","Yes"
"78","160.18837059912158","96.55319541612347","0.008056640625","0.0068359375","0.002197265625","2584","0.00032266052315824633","36","0.00032266052315824633","0","0.00032266052315824633","0.00032266052315824633","69:0.0017648961031002386;89:0.0017239498784575868","69:68;89:68","69:0.0022859320596506083;89:0.001916381754783647","0.008056640625","Yes"
"79","136.83708776903478","44.74216820657881","0.0797119140625","0.09326171875","0.066162109375","2584","0.0005020404166419542","36","0.0005020404166419542","0","0.0005020404166419542","0.0005020404166419542","93:0.002290118414739445;73:0.001921537609488988","93:68;73:68","93:0.002163682958954888;73:0.0017701490272722942","0.0797119140625","Yes"
"80","136.49408347507986","36.55800961687269","0.0076904296875","0.01416015625","0.001220703125","2584","0.000338673867769583","36","0.000338673867769583","0","0.000338673867769583","0.000338673867769583","81:0.014337377544556718","81:68","81:0.009636966715669326","0.0076904296875","Yes"
"81","187.677452483115","234.37949538802852","0.01220703125","0.014892578125","0.009521484375","2584","0.0007804296796028469","36","0.0007804296796028469","0","0.0007804296796028469","0.0007804296796028469","80:0.014337377544556718;76:0.02029951710546707","80:68;82:68;76:68","80:0.009636966715669326;76:0.009077093392283186","0.01220703125","Yes"
"82","5.64467457117003","6.440762177221647","0.3519287109375","0.44287109375","0.260986328125","2584","","36","","0","","","","81:68;83:68","83:0.001200718994030514","0.3519287109375","Yes"
"83","217.1175183167747","181.2452511129201","0.173095703125","0.14013671875","0.2060546875","2584","0.0003845621268918643","36","0.0003845621268918643","0","0.0003845621268918643","0.0003845621268918643","96:0.006414904408235889;84:0.003515686267218182","96:68;82:68;84:68","96:0.005675879534858819;82:0.001200718994030514;84:0.0027072414444038184","0.173095703125","Yes"
