"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"70","100.6447738919975","164.0402519588694","0.005126953125","0.009765625","0.00048828125","2200","0.00017976796169132418","32","0.00017976796169132418","0","0.00017976796169132418","0.00017976796169132418","69:0.002010572321569648;71:0.0011930528267452","69:68;71:68","69:0.0011332936384985948;71:0.0012118285709596666","0.005126953125","0.00439453125","Yes"
"71","315.4995138876034","360.3395778735259","0.00048828125","0.00048828125","0.00048828125","2200","0.00010044921826225466","32","0.00010044921826225466","0","0.00010044921826225466","0.00010044921826225466","72:0.0010045120611778258;58:0.0010893484196989323;70:0.0011930528267452","72:68;58:68;70:68","72:0.00111749175898046;58:0.0007998150589615116;70:0.0012118285709596666","0.00048828125","0.00537109375","Yes"
"72","207.405627879097","254.19462571422892","0.004150390625","0.00341796875","0.0048828125","2200","0.00009556009331188665","32","0.00009556009331188665","0","0.00009556009331188665","0.00009556009331188665","73:0.0010629111255225088;71:0.0010045120611778258","73:68;71:68","73:0.0009357740650392798;71:0.00111749175898046","0.004150390625","0.003662109375","Yes"
"73","309.6415122025564","303.43168781453966","0.00439453125","0.0048828125","0.00390625","2200","0.000155646439547816","32","0.000155646439547816","0","0.000155646439547816","0.000155646439547816","72:0.0010629111255225088;74:0.0009722315586184194;79:0.0009296364599876705","72:68;74:68;79:68","72:0.0009357740650392798;74:0.0011882043986714275;79:0.0013393020819227053","0.00439453125","0.002197265625","Yes"
"74","291.13712589469696","268.9287872794015","0.00732421875","0.005859375","0.0087890625","2200","0.00013891829828227242","32","0.00013891829828227242","0","0.00013891829828227242","0.00013891829828227242","73:0.0009722315586184194;75:0.0016141095496401414","73:68;75:68","73:0.0011882043986714275;75:0.0007586037517800237","0.00732421875","0.007080078125","Yes"
"75","372.01252620667606","460.02464732335386","0.00244140625","0.0029296875","0.001953125","2200","0.000126055440654858","32","0.000126055440654858","0","0.000126055440654858","0.000126055440654858","59:0.001641974952438674;74:0.0016141095496401414","59:68;74:68","59:0.001042404435496358;74:0.0007586037517800237","0.00244140625","0.001953125","Yes"
"76","280.87658809387256","281.91831145330275","0.0029296875","0.001953125","0.00390625","2200","0.00020097786491161121","32","0.00020097786491161121","0","0.00020097786491161121","0.00020097786491161121","81:0.0009286994976880902;61:0.0010612707953404077","81:68;61:68","81:0.0011086807048046876;61:0.001542267813203324","0.0029296875","0.005615234375","Yes"
"77","277.4656957877971","369.2872303890118","0.007568359375","0.01171875","0.00341796875","2200","0.00012652660501335172","32","0.00012652660501335172","0","0.00012652660501335172","0.00012652660501335172","85:0.1445154484446346;65:0.0008054235111649988","85:68;65:68","65:0.0013794017914448564","0.007568359375","0.008056640625","Yes"
"78","278.1364054216968","416.6883208448557","0.005126953125","0.0048828125","0.00537109375","2200","0.00010769903440979721","32","0.00010769903440979721","0","0.00010769903440979721","0.00010769903440979721","69:0.0008783767517270558;89:0.0008234254543950936","69:68;89:68","69:0.0011731442523648938;89:0.0009293321161983337","0.005126953125","0.0048828125","Yes"
"79","312.26270412886095","325.1851624816746","0.003173828125","0.0029296875","0.00341796875","2200","0.00012325564157459243","32","0.00012325564157459243","0","0.00012325564157459243","0.00012325564157459243","93:0.0012302854306716626;73:0.0009296364599876705","93:68;73:68","93:0.0010067520393645113;73:0.0013393020819227053","0.003173828125","0.004638671875","Yes"
"80","280.51324080394687","538.6938005181455","0.002685546875","0.00341796875","0.001953125","2200","0.00008393876463380778","32","0.00008393876463380778","0","0.00008393876463380778","0.00008393876463380778","81:0.0009270619625157128","81:68","81:0.0015734794802919339","0.002685546875","0.001220703125","Yes"
